Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
bnlf1_lmp1_p03230_p0c741_p13198_p29362_q1hvb3,9.99,14,,30.93,62,,422.63,561,,6.98,23,,2.12,6.57,89.82,1.48
bkrf1_ebna1_p03211_q1hvf7_q3kss4,5.37,19,,15.68,45,,218.20,304,,1.52,7,,2.23,6.51,90.63,0.63
bzlf1_p03206_q1hvg1_q3kss8,157.80,146,,63.55,100,,54.80,112,,22.50,43,,52.84,21.28,18.35,7.53
byrf1_ebna2_p12978_q3ksv2_q69022,2.73,10,,15.99,34,,81.51,141,,2.98,7,,2.65,15.50,78.97,2.89
bmrf1_p03191_p0c6z0_q3ksu3,10.12,25,,70.83,51,,4.48,16,,27.39,23,,8.97,62.79,3.97,24.28
bglf4_p0c6z8_p0c731_p13288,0.85,2,,19.85,13,,0.29,1,,57.13,7,,1.09,25.41,0.37,73.14
brlf1_p03209_q1hvg0_q3kss7,56.67,67,,33.31,45,,10.64,32,,5.00,15,,53.65,31.53,10.08,4.74
lmp2_p0c729_p13285_q1hvj2,0.29,2,,7.56,8,,56.10,102,,0.50,1,,0.44,11.72,87.06,0.78
bhrf1_p03182_p0c6z1_p0c736,3.62,8,,36.03,39,,51.47,42,,6.79,12,,3.70,36.80,52.57,6.93
bcrf1_p03180_p0c6z6_p0cap9_p25215,0.56,5,,7.02,9,,2.55,8,,41.29,18,,1.09,13.66,4.95,80.30
bglf3_p03220,0.00,0,,11.27,4,,0.27,2,,36.46,4,,0.00,23.47,0.56,75.97
ebna-lp_ebna5_p0c732_q1hvi8_q8azk7,0.42,2,,2.50,6,,27.84,54,,0.00,0,,1.36,8.12,90.52,0.00
bnlf2a_p0c737_p0c738_p0c739,15.03,7,,25.49,17,,1.99,5,,7.13,6,,30.27,51.35,4.01,14.37
bfrf3_p14348_scp,0.42,3,,6.60,8,,1.83,3,,23.47,12,,1.30,20.42,5.67,72.61
bclf1_mcp_p03226_p0c703_p0c704,1.76,5,,3.13,14,,2.38,5,,19.76,17,,6.50,11.57,8.81,73.13
bplf1_p03186_q1hvh9_q3ksu8,0.33,1,,2.35,5,,2.32,4,,19.53,8,,1.36,9.58,9.46,79.61
barf1_p03228_p0c6n0_p0c701_p0cap6_p0cap7_p0cw72,1.92,3,,18.49,19,,11.53,20,,1.81,4,,5.68,54.78,34.17,5.37
balf2_dbp_p03227_q1hvb8_q3ksn9,1.13,4,,18.00,17,,0.57,4,,9.54,9,,3.88,61.56,1.95,32.61
bglf5_p03217_q1hve7_q3ksr5,4.50,6,,17.37,12,,0.42,2,,4.32,8,,16.92,65.28,1.57,16.24
bllf1_p03200_p68343_p68344,0.95,6,,3.31,9,,3.91,5,,13.75,11,,4.34,15.08,17.85,62.73
bmlf1_bslf2_q04360_q1hvh2_q3ksu1,5.46,8,,10.86,17,,7.47,13,,4.14,7,,19.55,38.89,26.74,14.82
bdlf3_p03224,0.11,1,,2.43,4,,0.12,1,,10.75,6,,0.83,18.10,0.93,80.14
balf4_p03188_p0c762_p0c763,1.29,5,,1.77,7,,1.69,4,,10.69,9,,8.34,11.46,10.93,69.27
blrf2_p03197_p0c717_q3kst5,0.00,0,,1.33,5,,0.27,1,,10.55,7,,0.00,10.97,2.20,86.83
bsrf1_p0ck49_p0ck50_p0ck62,0.00,0,,4.12,2,,0.17,1,,10.40,2,,0.00,28.04,1.14,70.82
bdlf4_p0ck56_p0ck57,0.10,1,,2.50,3,,0.97,3,,10.34,5,,0.72,18.00,6.95,74.33
bglf2_p0ck53_p0ck54_p0ck55,1.17,1,,2.38,4,,0.00,0,,9.24,5,,9.12,18.62,0.00,72.26
bblf2_p30118,0.12,1,,8.76,6,,0.00,0,,2.69,2,,1.08,75.68,0.00,23.24
borf2_p03190_p0c702_q3ksu5,2.01,2,,8.51,5,,0.20,1,,5.03,5,,12.78,54.03,1.27,31.92
bflf2_p0ck47_p0ck48,0.14,1,,8.00,3,,0.33,1,,0.51,2,,1.59,88.99,3.71,5.72
bfrf1_p03185,1.31,3,,7.99,8,,1.30,3,,4.36,2,,8.75,53.42,8.69,29.14
btrf1_p0c734_p30119_q1hvd3,0.00,0,,2.55,2,,0.50,1,,7.60,4,,0.00,23.93,4.69,71.37
bdlf1_p25214,0.38,2,,1.19,3,,0.20,1,,7.46,7,,4.07,12.89,2.17,80.88
bnrf1_p03179_q1hvj0_q3ksv4,1.71,5,,6.70,10,,5.57,9,,5.49,7,,8.77,34.43,28.60,28.20
borf1_p03187,0.00,0,,1.71,3,,0.12,1,,6.64,3,,0.00,20.15,1.47,78.37
brrf1_p03207_p0c722_p0c723,0.83,1,,6.00,4,,0.31,1,,1.46,3,,9.69,69.75,3.60,16.97
bdlf2_p03225_p0c742_q3ksq7,0.00,0,,0.12,1,,0.00,0,,5.77,1,,0.00,2.12,0.00,97.88
blrf1_p03196_p0c6z3_p0c6z4,0.00,0,,1.41,2,,0.00,0,,5.74,2,,0.00,19.69,0.00,80.31
bfrf2_p14347,0.00,0,,4.88,3,,0.00,0,,5.62,4,,0.00,46.46,0.00,53.54
bmrf2_p03192_q1hvh3_q3ksu2,0.00,0,,5.59,3,,0.00,0,,1.06,2,,0.00,84.05,0.00,15.95
balf1_p0ck58_p0ck59,0.34,2,,5.52,12,,1.75,4,,1.00,1,,3.90,64.14,20.34,11.61
ebna3_p12977_q3kst2_q69138,0.38,2,,0.79,4,,5.46,18,,0.00,0,,5.67,11.87,82.46,0.00
balf5_p03198_q1hvc1_q3ksp1,0.73,3,,4.87,10,,4.43,14,,1.99,5,,6.09,40.51,36.87,16.53
bilf1_p03208,3.95,2,,3.03,8,,0.47,3,,4.60,7,,32.77,25.16,3.87,38.20
bhlf1_p03181,0.00,0,,4.51,8,,0.17,1,,0.11,1,,0.00,94.20,3.48,2.32
bzlf2_p03205_p0c6z5_q1hvg2,0.00,0,,0.82,3,,0.44,2,,3.96,4,,0.00,15.71,8.51,75.78
bblf4_p03214,0.35,2,,3.88,5,,0.72,2,,0.64,3,,6.26,69.38,12.98,11.38
bxrf1_p03232,0.00,0,,1.51,2,,0.25,1,,3.68,2,,0.00,27.77,4.60,67.63
bblf1_p0ck51_p0ck52,0.00,0,,3.61,2,,0.00,0,,0.75,1,,0.00,82.81,0.00,17.19
bxlf2_p03231_q1hvd2_q3ksq3,0.14,1,,0.97,3,,0.53,2,,3.38,6,,2.84,19.27,10.62,67.26
bbrf3_p03215_q1hve9_q3ksr7,0.17,1,,1.31,2,,0.24,1,,3.13,4,,3.44,27.07,4.87,64.62
bkrf3_p12888_ung,0.17,1,,2.95,3,,0.45,1,,0.83,3,,3.79,67.13,10.24,18.84
brrf2_p03210_q1hvf8_q3kss5,0.50,1,,0.67,2,,2.78,2,,0.68,2,,10.80,14.48,59.97,14.75
bvrf2_p03234_q1hvc7_q3ksp9,0.11,1,,0.79,3,,0.00,0,,2.62,4,,3.15,22.48,0.00,74.37
bkrf4_p0c724_p30117_q3kss1,0.00,0,,2.60,3,,0.00,0,,0.95,5,,0.00,73.18,0.00,26.82
bslf1_p03193,0.00,0,,2.51,4,,0.14,1,,1.70,4,,0.00,57.68,3.29,39.03
bllf3_p03195_q07275_q3kst7,0.00,0,,2.39,3,,0.00,0,,0.37,3,,0.00,86.68,0.00,13.32
bxlf1_p03177_q1hvd1_q3ksq2,0.25,1,,2.38,4,,0.00,0,,2.21,3,,5.17,49.11,0.00,45.72
bllf2_p03199_p68345_q3kst3,0.00,0,,2.37,3,,0.50,2,,1.68,4,,0.00,52.08,11.00,36.92
balf3_p25939,0.37,1,,2.35,4,,0.25,1,,1.67,2,,7.91,50.74,5.39,35.95
bvrf1_p03233_p0c705_p0c706,0.00,0,,2.20,1,,0.10,1,,1.49,2,,0.00,58.11,2.64,39.25
lf2_p0c725_p0c726_q3ksp5,0.35,2,,1.88,2,,0.00,0,,1.13,2,,10.43,55.95,0.00,33.62
bilf2_p03218,0.00,0,,1.36,3,,0.00,0,,1.70,3,,0.00,44.46,0.00,55.54
bglf1_p03222,0.12,1,,0.31,1,,0.33,1,,1.60,1,,5.28,13.07,14.08,67.57
bolf1_p03189_q1hvh8_q3ksu7,0.00,0,,0.31,2,,0.41,3,,1.33,2,,0.00,15.07,20.02,64.91
bnlf2b_p0c733_q1hvb5_q8azj3,0.50,1,,1.27,2,,0.24,2,,0.36,1,,21.09,53.43,10.24,15.23
bbrf1_p03213_q1hvf2_q3ksr9,0.00,0,,0.47,2,,0.00,0,,1.12,3,,0.00,29.40,0.00,70.60
bkrf2_p03212_q1hvf6_q3kss3,0.00,0,,1.03,3,,0.50,1,,0.91,2,,0.00,42.27,20.45,37.27
bflf1_p03184,0.00,0,,0.97,1,,0.14,1,,0.84,1,,0.00,49.73,7.29,42.99
lf3_p0c727_p0c728,0.00,0,,0.60,2,,0.92,4,,0.12,1,,0.00,36.50,55.90,7.60
bbrf2_p0c6z9_p29882_q3ksr8,0.00,0,,0.12,1,,0.00,0,,0.65,2,,0.00,16.22,0.00,83.78
blrf3_q07286,0.00,0,,0.00,0,,0.35,1,,0.00,0,,0.00,0.00,100.00,0.00
ebna6_p03204_q3kst0_q69140,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
lf1_q1hvc3_q3ksp4_q8azj5,0.21,1,,0.12,1,,0.00,0,,0.17,1,,41.99,24.86,0.00,33.15
q3ksp3_q9q2p0_rpms1,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
